topic1;question;category;
trastornos psiquiátricos;cómo reconocen signos síntomas trastorno personalidad histriónica;31;
trastornos cardiovasculares;dame información muerte súbita origen cardíaco deportistas;12;
trastornos oftálmicos;cómo trata enrojecimiento ocular;29;
salud femenina;cómo manejan enfermedades hígado vesícula biliar embarazo así hígado graso embarazo;10;
trastornos del corazón y los vasos sanguíneos;cómo causan anginas pecho frecuentes;18;
trastornos dermatológicos;cómo produce alopecia;21;
trastornos dermatológicos;qué conceptos clave hidradenitis supurativa;21;
trastornos de la sangre;cómo detectan trastornos eosinófilos sangre;15;
trastornos otorrinolaringológicos;cómo manejan trastornos otorrinolaringológicos hogar especialmente trata bultos cuello;30;
trastornos oftálmicos;cómo diagnostica uveítis causada enfermedades tejido conectivo enfermedad behçet;29;
trastornos oftálmicos;cómo entienden conceptos clave trastornos oftálmicos relacionados visión doble;29;
cuidados críticos;cómo reconocen signos síntomas sepsis shock séptico cuidados críticos;0;
trastornos de la piel;cómo diagnostica sudoración excesiva generalizada;13;
infecciones;cómo desarrolla infección;7;
enfermedades cerebrales; medulares y nerviosas;cómo identifica lesión lóbulo frontal contexto disfunción cerebral;1
salud femenina;cómo diagnostican pólipos cervicales;10;
trastornos de la sangre;cómo detectan trastornos sangre sobrecarga secundaria hierro;15;
salud femenina;cómo mide mortalidad materna perinatal salud femenina;10;
infecciones;cómo diagnostica fiebre amarilla;7;
trastornos hormonales y metabólicos;cómo trata hipomagnesemia;24;
trastornos de la salud mental;cómo afecta suicidio trastorno mental;14;
geriatría;cómo evaluar trastornos marcha geriatría;4;
trastornos cardiovasculares;cómo trata arritmias miocardiopatía hipertrófica;12;
trastornos de la piel;cómo diagnositan lesiones uñas manos pies así hematoma subungueal;13;
trastornos hormonales y metabólicos;cómo presentan síntomas hipertiroidismo;24;
trastornos psiquiátricos;dame información introducción trastorno ansiedad generalizada;31;
geriatría;cómo manejan especialmente categorías medicamentos deben controlarse ancianos contexto geriatría cuáles analgésicos;4;
enfermedades cerebrales; medulares y nerviosas;cómo establece pronóstico estupor coma neurológico;1
trastornos cardiovasculares;cómo trata síncope debido trastornos cardiovasculares;12;
infecciones;cómo introduce infecciones hongos cómo trata infecciones hongos;7;
trastornos odontológicos;cómo reducen luxación mandibular odontología qué advertencias errores comunes tener cuenta;28;
trastornos oftálmicos;cómo presentan trastornos oftálmicos síntomas oculares brillos halos;29;
enfermedades cerebrales; medulares y nerviosas;cómo trata aneurisma cerebral;1
cuidados críticos;cómo realiza canulación vena yugular interior cuidados críticos qué advertencias errores comunes tener cuenta;0;
